Year,"(kPa) Vapor Pressure Deficit (TerraClimate) at California, Jun to Aug",T-max,PDSI,(mm) Precipitation,Number of Fire,Area burned,
1980,2.0507,29.907,2.450966667,16.7381,148,133734,5.126241835
1981,2.3157,32.1392,-1.8294,5.2645,188,249028,5.396248181
1982,1.9333,29.2535,2.446633333,35.0939,96,47028,4.67235651
1983,1.9275,29.5933,6.287,57.6506,132,78930,4.897242103
1984,2.1467,30.943,0.990333333,47.593,117,121500,5.084576278
1985,2.27,31.6558,-1.717133333,17.8153,155,465210,5.667649042
1986,2.1599,31.0586,0.598566667,11.8092,128,53505,4.728394368
1987,2.0647,30.3114,-2.4395,12.1381,176,655706,5.816709158
1988,2.2013,31.0449,-1.005933333,24.8356,138,118954,5.07537905
1989,2.0964,30.5026,-1.725,19.1047,101,95509,4.980044298
1990,2.1346,30.9205,-1.650066667,24.2303,105,298316,5.474676547
1991,1.9885,29.8315,-0.501133333,23.5874,31,8772,3.943098623
1992,2.1173,30.7082,-0.273733333,30.5656,109,144548,5.160012087
1993,1.9876,29.8668,3.210933333,25.6196,91,58211,4.76500506
1994,2.3131,31.8339,-2.029266667,4.2204,154,260910,5.416490725
1995,2.0611,30.2219,4.355166667,29.5032,121,140169,5.146651975
1996,2.3429,32.0581,0.8663,11.5636,210,498486,5.697652966
1997,2.0183,29.8979,-1.100766667,37.7952,96,160564,5.205648179
1998,2.0173,29.7601,5.373233333,26.6019,103,63896,4.805473671
1999,1.9679,29.0527,1.1337,20.5861,178,503932,5.702371937
2000,2.1513,30.1239,-0.015866667,17.5707,124,209377,5.320928973
2001,2.2008,30.5221,-1.2048,15.3081,183,181942,5.259932964
2002,2.1677,30.4339,-2.357533333,3.8268,132,858188,5.933582438
2003,2.1894,30.8901,1.138433333,26.5182,228,181766,5.25951265
2004,2.1028,30.5133,-1.7722,8.1311,185,141783,5.151624161
2005,2.1551,30.3157,3.551333333,22.0558,278,205852,5.313555091
2006,2.2433,31.5198,2.3188,7.1007,256,439522,5.642980618
2007,2.1778,30.8618,-3.268066667,13.4509,207,394881,5.596466238
2008,2.1773,30.8621,-2.985,3.7754,342,1265109,6.102127945
2009,2.0958,30.2311,-2.648266667,17.872,175,386932,5.587634648
2010,2.0817,30.0017,0.723833333,8.8848,168,83837,4.923435729
2011,2.0357,29.5971,1.625633333,18.902,196,86151,4.935260323
2012,2.1323,30.5899,-1.0868,25.0495,249,794631,5.900165504
2013,2.1936,31.0966,-2.595533333,17.3879,161,468027,5.670270908
2014,2.2224,31.4271,-4.094333333,17.5817,145,430383,5.633855108
2015,2.313,31.7094,-2.657066667,21.6402,258,630913,5.799969476
2016,2.3733,31.7582,-0.617666667,10.7036,223,490186,5.690360903
2017,2.3083,32.2598,3.330433333,37.9459,434,800782,5.903514302
2018,2.3904,31.9896,-1.6697,11.4516,307,1200375,6.079316942
2019,2.3913,31.7157,3.549866667,9.0257,148,53211.71,4.726007185
2020,2.4122,31.9112,-0.725533333,10.0343,350,3299156.71,6.518402945
2021,2.5823,32.8217,-4.6103,11.2887,203,1117829.39,6.048375525
